PM2.5,PM10,CO,NO2,Temperature,Humidity,AQI
105,274,3.03,81,28.2,40.3,213
141,190,2.18,125,39.8,32.5,246
231,235,2.29,28,34.8,63.1,226
238,189,1.35,73,31.8,88.5,193
160,271,4.14,197,27.4,60.1,276
240,74,2.48,165,20.5,80.5,193
246,110,2.76,63,14.2,36.3,200
152,297,1.59,118,24.3,42.6,234
180,120,0.99,165,11.0,82.5,141
38,174,0.52,164,17.4,70.5,106
45,160,3.6,191,25.1,88.5,144
22,192,1.06,105,24.7,72.0,98
169,29,3.48,173,11.6,45.9,174
80,247,2.01,16,30.6,52.5,149
196,284,2.14,123,29.2,82.0,230
95,267,2.4,143,12.7,54.1,180
37,266,1.9,101,43.0,30.4,213
75,174,0.59,151,13.5,44.8,138
179,53,1.62,186,39.9,51.3,224
54,148,3.35,61,10.0,17.7,131
71,179,3.36,46,40.9,69.5,153
194,108,1.5,102,10.7,18.7,187
143,112,2.35,35,36.5,42.4,173
37,260,1.05,184,22.7,74.4,151
37,136,1.13,6,35.8,47.4,97
117,113,0.21,170,24.1,77.4,133
53,182,4.49,36,12.5,37.4,128
93,118,1.13,142,36.9,86.6,137
39,132,1.21,109,12.5,26.8,113
199,110,1.47,140,42.3,13.1,274
84,225,0.72,79,11.8,79.8,92
137,36,3.23,109,26.8,70.2,138
101,293,0.47,152,35.3,28.6,245
226,192,0.76,152,23.8,88.8,197
240,135,3.26,131,17.6,50.2,230
199,200,1.76,13,36.6,86.1,169
234,110,3.57,19,37.5,50.4,217
138,101,2.83,101,42.3,47.7,204
130,133,1.35,109,23.2,45.9,162
36,276,3.29,67,27.7,36.8,179
199,77,0.67,25,22.7,52.7,132
130,173,2.73,9,19.0,46.2,139
125,135,2.24,129,36.3,12.9,236
214,285,1.41,167,21.9,30.8,286
242,222,3.06,89,25.0,27.0,276
12,60,4.37,117,24.1,79.4,83
112,124,4.99,180,34.9,57.9,226
207,212,3.08,84,42.1,71.1,244
209,297,2.08,194,33.3,86.5,272
164,256,1.2,120,26.5,61.5,210
146,240,1.36,167,37.3,88.6,211
71,87,2.45,101,32.4,34.9,156
174,216,1.9,25,12.1,24.9,180
234,275,4.58,84,13.3,42.3,263
60,158,1.9,43,11.3,47.7,88
243,168,1.93,166,26.0,81.6,228
181,118,1.98,125,38.9,54.8,218
161,95,4.2,128,21.0,33.4,210
216,128,3.29,147,23.4,69.4,215
68,207,3.11,10,41.8,50.5,164
127,218,1.74,198,39.3,23.0,281
169,173,4.11,60,33.3,56.1,212
105,59,0.29,53,19.3,82.9,50
225,152,4.37,96,14.1,77.4,191
242,151,2.61,133,10.6,56.9,209
189,298,2.05,69,13.7,40.2,219
122,103,2.54,32,20.2,17.0,153
71,261,3.37,104,29.3,47.6,200
195,135,0.16,152,12.2,70.2,154
61,128,4.37,180,14.8,38.8,175
21,240,2.29,76,16.3,28.8,139
48,60,1.78,69,32.1,84.5,67
139,166,0.78,55,31.6,75.7,136
140,131,2.25,175,29.3,61.1,199
122,122,2.53,53,18.8,20.9,160
110,65,2.08,157,23.0,21.6,182
122,290,3.43,78,13.4,18.3,222
193,214,2.16,173,17.9,59.3,228
90,299,4.81,196,41.4,19.2,324
196,59,3.04,193,44.3,77.4,234
122,208,4.06,16,32.7,89.4,146
11,183,0.64,108,42.1,39.3,154
139,43,2.05,85,32.5,46.3,155
229,43,1.75,131,11.2,66.9,152
63,23,2.89,18,44.9,85.0,79
96,200,4.32,38,13.5,81.5,111
238,267,0.48,52,33.9,14.6,277
233,135,0.46,65,18.8,23.5,201
234,298,4.27,39,23.7,70.4,241
138,88,1.14,123,32.6,65.1,156
156,273,3.38,69,25.3,20.7,251
135,200,2.76,63,18.8,50.2,167
139,188,4.18,40,21.7,72.5,154
62,268,0.71,151,22.0,27.5,195
181,207,0.74,46,43.6,79.7,185
227,73,2.83,73,38.0,14.2,254
169,157,4.74,151,26.0,72.6,218
207,187,2.13,111,17.0,59.3,200
169,122,1.7,43,38.4,35.2,196
77,104,3.07,73,15.5,67.7,92
192,231,4.66,184,17.4,72.6,247
212,22,4.2,16,22.8,84.7,121
193,198,4.98,87,40.8,39.4,282
132,57,0.21,179,14.6,64.9,121
154,258,0.65,40,14.3,58.2,147
47,188,3.09,130,27.3,52.0,165
33,49,4.12,67,19.7,81.2,57
78,209,1.5,80,29.9,10.3,198
125,44,1.27,86,25.8,32.6,141
107,131,3.96,55,25.2,53.1,151
207,225,0.38,47,13.9,24.3,197
223,204,1.91,38,14.9,82.6,154
148,66,2.58,101,38.7,61.8,175
249,247,2.85,53,41.0,48.2,282
153,58,3.67,150,18.2,75.2,151
106,35,1.84,129,14.0,46.1,115
210,41,3.1,193,11.9,54.7,194
133,232,2.97,61,31.3,10.2,242
196,168,2.78,97,35.0,39.3,245
79,260,3.24,113,23.0,21.1,220
217,291,1.37,9,33.8,65.2,215
102,78,0.51,28,35.0,48.3,112
12,221,0.68,196,42.7,34.1,208
157,51,1.2,63,12.3,47.4,108
196,181,2.55,42,16.7,26.8,201
173,274,4.22,165,12.4,84.0,217
156,273,3.54,14,40.4,14.3,267
99,28,3.97,169,37.7,79.2,161
204,158,1.82,130,30.1,50.9,228
156,29,2.08,15,12.9,59.5,79
157,233,2.03,28,19.6,34.2,184
105,292,1.04,92,20.4,87.3,140
208,67,0.4,118,29.6,32.5,202
61,130,3.0,25,19.0,57.1,90
242,172,4.95,152,12.6,89.5,218
170,142,0.92,14,35.6,80.5,133
177,121,0.33,179,20.5,52.9,187
137,260,3.92,179,25.8,89.2,219
48,210,1.34,147,14.5,66.1,122
91,236,4.17,176,38.1,26.7,277
113,70,3.55,194,29.8,42.4,207
138,100,4.73,138,41.6,36.8,247
20,107,2.1,70,27.3,37.5,108
229,213,3.34,126,42.9,70.8,277
194,123,2.38,136,41.2,56.7,237
226,290,3.19,27,30.2,13.0,290
187,115,2.3,17,42.7,80.2,163
160,217,1.02,163,21.3,33.7,229
168,20,2.59,20,22.8,89.8,79
231,186,2.69,45,11.6,86.3,153
51,145,4.07,5,30.6,85.2,87
108,100,3.7,115,35.3,74.9,162
16,270,3.35,16,37.1,27.6,175
153,188,0.66,123,15.2,52.6,166
99,92,3.63,188,25.5,27.9,211
121,160,2.55,182,16.2,30.8,208
69,89,4.48,24,33.2,58.9,123
122,281,4.61,198,15.5,13.3,288
11,264,0.37,40,41.6,87.6,100
138,22,4.12,83,18.1,83.5,102
57,82,0.28,170,20.2,40.5,123
149,68,1.9,154,39.8,51.2,203
206,95,2.76,112,26.0,47.3,208
46,194,0.83,193,10.8,80.6,107
169,128,3.76,182,27.3,65.1,222
18,202,0.14,100,13.0,32.2,104
242,211,0.93,63,44.5,45.7,262
108,84,2.95,24,30.6,44.3,135
156,290,3.6,168,19.0,86.7,219
57,119,4.59,130,29.7,24.0,197
217,51,3.56,101,12.7,17.2,208
140,147,3.39,147,38.0,80.4,202
157,62,2.03,66,42.4,81.7,146
161,97,0.11,135,40.6,79.7,166
63,289,0.69,97,22.0,50.9,157
129,181,2.72,95,21.4,62.8,164
170,208,3.41,137,11.2,55.1,203
161,266,2.15,127,32.8,15.6,282
125,235,3.68,188,28.7,57.7,244
84,187,2.66,163,26.1,11.1,230
122,212,0.46,90,41.8,36.0,212
209,32,1.04,167,15.9,84.6,138
173,259,4.22,122,10.3,34.3,241
175,166,3.65,30,12.6,85.2,125
113,223,4.48,122,17.8,30.0,222
93,99,0.68,5,11.2,35.2,72
236,62,4.95,11,27.6,60.3,185
121,108,1.13,168,21.0,70.9,142
226,167,0.16,80,16.3,50.1,179
108,114,4.99,91,36.3,80.6,166
162,170,1.48,157,17.2,13.2,230
102,21,3.37,98,34.1,83.8,114
155,41,0.97,191,22.2,25.7,194
137,26,2.94,65,27.9,80.7,106
119,225,4.53,33,42.7,42.1,228
91,133,1.67,99,11.3,76.6,87
203,291,3.38,22,27.5,63.7,222
63,102,1.02,45,39.9,24.1,146
172,198,3.16,151,30.6,83.4,215
217,229,1.75,136,19.7,29.6,258
198,143,1.13,197,23.9,29.5,250
178,132,1.63,45,33.8,75.1,155
237,31,0.98,127,41.2,18.5,252
170,145,4.52,147,11.4,27.8,227
77,72,2.05,186,12.5,50.3,129
42,159,1.3,196,21.4,76.4,126
151,116,2.3,147,18.1,21.8,206
30,24,1.67,182,19.3,53.8,96
57,76,3.75,26,17.7,66.9,67
157,88,4.86,150,16.9,78.8,168
137,137,2.25,84,14.6,84.8,110
145,78,4.32,134,42.7,72.8,205
144,52,2.87,40,15.0,62.2,100
204,69,0.87,24,17.2,44.7,130
154,38,3.48,148,18.6,19.0,200
137,233,2.62,71,42.7,66.8,211
42,216,3.29,124,36.4,89.4,151
185,66,4.46,162,37.6,68.9,227
213,186,2.26,59,13.7,11.3,224
196,160,4.52,70,39.3,49.7,248
124,103,3.78,30,24.3,59.2,132
223,201,2.49,189,19.2,65.2,245
128,98,3.06,134,30.2,67.6,170
31,234,1.7,60,38.8,54.6,149
247,33,4.92,194,37.3,27.9,306
167,234,3.37,38,41.1,85.4,199
47,147,0.31,60,42.5,65.7,113
239,267,1.7,59,18.3,28.9,247
118,48,3.15,24,24.8,35.8,128
60,299,0.38,54,10.5,83.8,82
191,221,0.22,157,40.8,81.0,227
17,76,2.31,88,15.4,42.4,78
36,237,1.73,157,40.2,13.1,236
36,81,2.25,57,21.5,13.9,116
235,176,1.39,146,22.9,32.7,255
30,221,0.91,192,11.4,60.3,129
39,36,3.48,115,21.4,56.7,97
106,25,2.62,175,41.1,60.7,178
37,77,1.08,194,10.9,67.4,84
120,188,1.67,116,24.2,11.5,216
201,101,3.0,73,11.1,18.4,193
234,238,0.45,195,23.0,38.8,278
206,196,0.82,6,16.0,22.4,182
70,223,0.46,186,18.8,16.0,202
57,90,4.08,20,40.7,61.3,124
156,285,3.79,187,25.3,75.2,251
13,117,3.79,98,19.6,70.2,87
44,227,3.61,175,30.6,75.4,181
201,21,3.38,193,15.0,63.3,184
58,143,2.44,170,19.1,68.8,133
26,299,3.25,49,29.1,31.7,181
181,93,0.29,130,18.3,89.4,120
229,185,3.15,183,33.8,24.7,317
167,41,3.91,174,27.2,27.2,231
230,173,2.55,28,37.0,33.1,244
55,238,1.85,119,43.2,88.0,163
126,176,1.46,162,14.1,89.1,134
15,249,3.25,169,21.7,73.6,152
108,39,3.49,127,21.2,60.3,133
133,60,4.37,185,15.3,51.6,181
242,167,1.78,195,38.4,87.6,256
46,127,3.87,143,36.6,65.6,164
33,103,2.85,82,27.0,85.6,77
102,153,4.43,155,28.8,35.3,225
55,226,2.69,121,12.1,36.7,158
190,285,2.64,84,29.4,78.4,220
104,92,2.93,54,37.7,22.0,183
108,67,3.77,89,30.1,85.7,121
197,252,4.83,187,19.3,50.6,285
234,119,0.46,187,33.4,84.1,214
125,78,0.36,8,22.7,36.9,101
200,277,4.69,186,29.1,67.3,295
222,84,2.7,65,27.1,48.6,194
169,102,3.11,115,23.3,60.1,178
224,173,2.46,82,35.2,50.3,241
170,285,0.56,87,40.9,87.4,205
76,98,3.86,137,10.2,65.4,115
137,169,3.76,104,42.7,30.1,253
27,67,1.63,150,27.9,82.8,82
34,267,1.6,176,34.5,33.5,219
243,297,4.21,35,39.9,39.7,306
232,117,0.45,123,26.3,18.2,239
63,44,4.42,98,39.2,82.0,124
67,87,1.36,153,16.2,32.9,133
76,26,3.01,179,15.6,30.7,148
113,156,4.69,34,33.0,83.6,146
183,183,3.42,59,40.5,74.4,210
33,102,2.13,109,41.2,21.3,173
123,157,3.48,45,32.5,71.5,154
41,92,1.79,177,28.4,83.0,110
184,256,1.46,78,21.6,16.3,241
95,65,4.98,162,44.3,76.0,194
160,125,3.78,81,21.2,53.8,176
203,281,3.26,89,36.0,63.5,262
136,195,1.84,177,28.6,49.4,223
164,185,0.34,108,31.3,65.8,180
243,164,0.25,177,23.8,12.7,278
139,73,2.82,83,43.8,71.0,169
227,197,3.83,88,30.0,12.7,293
26,263,2.73,177,42.8,46.4,229
113,146,4.22,187,10.3,22.1,215
170,290,0.26,191,30.0,75.9,235
146,151,1.9,137,35.1,35.1,227
52,112,1.26,128,36.1,46.3,149
185,92,2.29,36,41.7,44.3,196
48,267,0.45,10,10.2,71.8,61
230,292,4.78,98,10.0,48.5,261
179,62,1.19,30,26.5,73.1,111
35,60,4.62,41,11.0,15.9,104
108,189,2.19,17,44.1,25.3,202
59,231,4.93,97,17.8,54.1,168
162,187,2.81,29,26.5,85.8,144
161,58,4.66,145,12.1,16.0,210
22,264,0.13,24,28.3,13.4,144
69,170,3.77,76,23.3,22.5,177
144,130,4.52,192,11.6,61.3,194
66,66,0.78,153,21.7,41.9,123
45,82,0.57,119,23.7,76.0,71
182,244,2.18,131,44.6,15.8,311
29,88,4.68,193,17.3,25.7,173
74,222,2.76,30,29.1,34.0,167
17,80,2.68,58,44.6,60.1,111
247,180,0.79,174,37.7,64.8,265
153,35,0.1,143,44.8,19.9,214
151,113,4.07,169,43.9,85.5,220
213,157,0.53,129,27.1,37.3,227
124,57,3.21,15,34.4,67.1,118
224,146,4.58,31,13.9,51.9,189
152,294,1.12,98,25.4,27.8,237
101,183,3.36,87,38.3,77.7,172
107,96,0.49,38,27.7,75.5,82
75,193,3.06,42,34.6,41.7,170
41,110,0.9,193,36.1,57.1,154
224,257,3.71,91,18.9,30.6,269
200,283,1.58,185,40.6,65.2,290
95,198,2.37,69,26.1,34.7,175
60,228,3.04,135,17.4,77.5,140
162,92,0.94,199,40.3,27.4,250
195,126,3.73,160,24.6,11.2,274
72,201,1.58,146,36.3,31.5,211
199,56,3.35,56,29.2,25.3,205
134,156,0.88,34,23.4,50.7,132
159,75,3.47,190,38.3,26.3,263
67,206,0.73,186,30.5,71.1,166
67,277,2.18,117,23.7,29.3,203
95,77,1.31,147,13.8,66.6,103
58,142,3.77,170,41.3,56.3,203
189,207,1.38,146,11.2,88.9,162
179,249,4.42,189,40.2,90.0,274
79,187,4.47,191,22.6,79.6,182
24,133,1.06,12,32.4,70.8,61
63,271,3.11,76,42.3,40.9,218
244,126,0.53,151,15.3,70.3,185
197,56,2.02,36,29.8,86.5,123
110,111,3.6,99,36.8,11.9,225
234,37,3.33,161,36.5,53.0,245
17,82,3.16,45,28.4,27.4,112
62,169,1.48,79,31.9,54.6,137
69,158,1.95,49,36.5,47.3,146
245,205,0.6,17,39.4,56.1,219
117,204,3.62,159,36.7,54.1,238
14,224,2.57,23,22.4,86.8,67
112,279,3.57,158,44.9,54.2,274
205,233,1.32,57,25.2,77.7,181
15,275,1.69,183,10.9,35.6,166
118,154,1.74,169,22.7,45.0,190
233,80,0.23,141,14.5,47.6,180
125,107,1.77,184,14.3,32.3,182
103,226,4.04,186,19.9,40.4,233
56,148,4.5,7,11.9,57.9,86
108,22,2.64,100,34.1,56.4,138
64,261,2.33,140,12.6,60.9,153
177,140,0.25,18,17.1,38.1,136
61,121,4.41,124,13.3,35.3,151
153,57,0.16,135,12.2,58.9,114
22,152,4.73,156,19.4,20.6,184
123,221,2.5,17,30.0,30.2,189
133,40,1.78,175,43.8,13.4,240
115,261,4.63,161,40.6,15.8,311
167,128,0.22,76,40.7,29.5,206
156,103,2.95,183,16.2,11.6,232
154,102,2.79,174,19.3,29.6,214
129,88,1.17,163,12.7,62.4,130
72,148,2.2,195,37.2,14.9,239
28,215,3.3,158,12.4,44.9,154
101,159,3.66,150,29.5,83.0,170
67,253,0.1,86,18.7,73.3,108
192,42,4.69,61,18.5,34.4,182
99,172,0.91,11,44.7,84.0,120
238,296,1.24,116,36.5,36.4,303
227,80,1.39,52,39.3,15.8,235
126,71,0.29,84,30.0,89.5,91
71,172,0.7,123,40.5,79.6,144
32,256,4.93,124,32.6,47.3,209
136,51,1.64,64,43.1,63.3,148
146,74,0.66,37,19.8,63.7,92
149,55,0.62,119,30.8,25.6,180
138,129,3.63,132,34.2,26.0,239
67,196,4.29,7,23.8,47.6,138
131,116,1.36,8,40.8,82.9,115
10,232,0.2,104,44.3,10.8,196
248,156,1.19,8,27.3,72.6,167
43,25,0.38,46,23.7,14.6,84
105,128,0.61,13,26.5,48.3,106
135,54,2.21,55,39.8,61.0,146
127,58,1.23,149,32.6,64.9,153
57,169,2.63,149,11.6,14.7,173
98,137,1.34,101,29.0,43.5,158
241,280,4.71,24,10.6,56.7,225
246,106,4.54,146,37.2,15.3,317
126,95,2.88,26,21.5,20.8,152
138,233,1.84,184,26.5,63.1,220
25,258,1.97,31,38.0,51.7,146
198,184,2.12,47,11.6,22.9,194
240,106,3.67,135,15.5,52.8,220
201,160,2.31,98,23.9,83.0,175
200,179,4.3,12,18.0,11.2,226
78,65,4.73,90,21.8,61.4,124
31,131,1.75,93,44.9,15.9,183
102,64,2.85,142,38.9,10.5,222
204,266,0.57,117,40.9,22.1,294
85,123,1.08,161,42.8,43.8,196
163,104,2.13,172,21.9,74.2,172
153,153,1.11,197,20.4,32.5,220
188,127,4.4,25,18.2,60.1,162
238,37,0.88,156,39.1,42.9,236
95,113,2.33,192,33.8,28.7,220
194,169,3.07,158,18.3,51.1,227
38,265,3.49,13,23.2,73.8,111
215,228,1.98,152,27.7,76.6,235
229,145,4.36,188,28.5,77.7,256
78,254,2.88,40,41.1,37.1,205
56,141,2.25,40,23.3,73.5,81
103,157,0.43,77,41.8,27.0,190
247,134,2.38,154,25.4,69.1,230
199,181,4.12,5,36.1,85.9,183
206,220,3.11,73,42.6,11.1,303
213,253,4.18,41,41.8,45.2,279
153,47,2.52,76,12.0,61.8,108
227,30,0.68,111,17.2,66.1,142
227,225,0.17,100,26.7,24.1,252
185,186,1.59,145,25.1,87.8,184
94,266,3.52,88,32.4,59.2,202
48,66,3.97,47,43.1,23.1,165
109,265,1.55,41,13.9,11.6,182
42,146,2.53,29,25.8,72.7,80
231,166,2.16,153,16.7,16.4,265
110,137,2.11,173,41.3,21.3,247
32,171,1.23,77,43.8,56.0,142
19,91,0.77,174,26.8,58.3,109
78,156,1.06,46,13.6,65.0,77
109,194,0.37,6,37.5,41.5,152
43,38,1.07,140,34.4,71.9,96
189,214,0.15,100,22.4,87.9,157
232,194,3.17,65,41.1,31.7,282
147,160,1.65,18,44.2,66.2,167
156,265,4.87,117,29.5,84.3,227
195,112,1.05,81,29.8,64.9,168
105,258,1.79,25,20.4,64.5,134
10,224,1.85,156,30.5,27.9,186
78,67,0.14,182,25.4,52.8,131
246,264,4.21,177,20.6,55.0,301
13,147,0.26,196,12.4,66.0,90
25,36,4.71,68,18.8,89.7,45
33,90,4.47,158,16.9,12.7,172
89,288,2.72,164,29.0,15.2,266
11,26,2.76,61,31.1,16.2,111
229,122,3.3,123,31.3,69.4,226
137,212,2.0,185,23.6,20.9,252
169,260,3.27,165,24.7,59.8,250
228,81,0.32,56,39.2,36.0,206
93,36,0.36,99,26.7,46.6,107
161,190,2.34,150,44.6,27.3,282
149,44,2.79,167,25.4,79.3,153
187,270,4.45,144,32.7,56.9,285
172,272,0.61,183,11.8,85.6,184
133,226,4.13,93,32.9,56.0,222
42,48,1.13,14,39.8,19.9,112
170,136,2.03,56,43.0,23.7,230
198,163,1.65,38,44.9,89.1,180
188,44,2.06,119,19.9,68.0,147
180,175,0.84,199,30.1,13.9,276
110,92,2.57,171,25.8,66.3,162
21,139,4.03,140,29.7,43.0,164
76,112,2.26,129,15.5,34.6,142
74,105,2.5,161,40.0,22.3,215
170,137,4.26,154,41.8,77.2,236
177,252,3.56,193,25.7,15.1,313
83,218,2.5,47,19.8,33.2,157
52,225,1.36,181,14.9,34.5,174
53,166,4.44,33,33.9,22.9,178
38,290,2.93,110,20.9,50.7,170
150,158,1.18,124,41.8,10.9,256
21,200,1.42,85,33.5,34.1,151
104,49,4.04,35,32.6,84.7,101
55,76,0.32,185,29.6,34.8,151
139,251,4.96,166,11.6,38.8,245
44,165,0.74,132,42.6,47.9,169
224,67,4.0,42,32.0,54.9,198
90,213,2.03,189,44.8,74.7,219
99,243,2.51,105,28.8,25.2,221
17,155,4.42,136,34.9,79.7,143
102,41,2.12,134,12.0,70.6,91
163,25,2.73,16,32.1,67.8,119
211,223,0.34,39,36.8,16.9,248
99,258,0.11,114,37.2,11.7,236
171,204,1.3,76,37.0,57.5,206
124,239,3.43,153,17.9,79.1,185
114,135,0.69,114,44.1,56.8,181
